onset	duration	response_time	value	stimuli
9007	3000	1041	1	ANCHOR.bmp  
16012	3000	1120	1	FLOWER.bmp  
23017	3000	1592	1	BUTTERFL.bmp
30005	4000	903	1	EAR.bmp     
38010	4000	1178	1	CLOWN.bmp   
46016	4000	1345	1	FAN.bmp     
54004	4000	1209	1	FISH.bmp    
62009	3000	845	1	DRESS.bmp   
69015	3000	1749	1	SCORPION.bmp
76003	3000	1173	1	CORN.bmp    
83007	3000	1379	1	HAMMOCK.bmp 
90012	3000	1518	1	DOORKNOB.bmp
97017	4000	1191	1	BOWL.bmp    
105006	4000	844	1	CANNON.bmp  
113011	3000	1218	1	AIRPLANE.bmp
120016	3000	1433	1	DONKEY.bmp  
127004	4000	2130	0	DEER.bmp    
135010	4000	1039	1	FAUCET.bmp  
143015	4000	1773	0	DOGHOUSE.bmp
151004	4000	1678	1	COMPASS.bmp 
159010	3000	831	1	CAT.bmp     
166014	4000	1322	1	CATERPIL.bmp
174003	3000	1252	1	CHEESE.bmp  
181008	3000	2351	0	BEE.bmp     
188013	3000	1338	1	ACORN.bmp   
195000	4000	1493	1	EAGLE.bmp   
203006	3000	1734	1	CROWN.bmp   
210010	3000	1206	1	CHIMNEY.bmp 
216999	4000	2578	0	ARTICHOK.bmp
225004	4000	1103	1	BRAIN.bmp   
233010	4000	1124	0	COAT.bmp    
240999	3000	1190	1	frenchcr.bmp
248003	3000	1039	1	ELEPHANT.bmp
255008	3000	843	1	BOOT.bmp    
262013	3000	1361	1	BOW.bmp     
269001	3000	1409	1	EYE.bmp     
276006	3000	1767	0	DRESSER.bmp 
283011	4000	1175	1	BICYCLE.bmp 
291000	3000	1140	1	CAP.bmp     
298005	4000	1263	1	ASPARAGU.bmp
306010	4000	1187	1	ACCORDIO.bmp
313998	4000	1053	1	ENVELOPE.bmp
322004	4000	993	1	BELT.bmp    
330009	4000	1479	1	FEATHER.bmp 
337998	3000	934	1	GARBAGEC.bmp
345003	3000	1270	1	BENCH.bmp   
352008	3000	725	1	BEAR.bmp    
358996	4000	1918	0	DUSTPAN.bmp 
367001	4000	1197	1	BIRDNEST.bmp
375007	4000	1406	1	CAR.bmp     
382996	3000	1115	0	ALLIGATO.bmp
390000	4000	1404	1	GLOVE.bmp   
398006	4000	1316	1	BIRDCAGE.bmp
405995	4000	1313	1	FRYINGPA.bmp
414000	3000	1162	1	GUITAR.bmp  
421005	3000	1323	1	DOLPHIN.bmp 
427995	3000	1264	1	FLAG.bmp    
434997	3000	1611	1	RAY.bmp     
442002	4000	1052	1	CARROT.bmp  
450008	4000	1091	1	CHICKEN.bmp 
457996	3000	1498	0	FUNNEL.bmp  
465001	4000	1243	1	BOX.bmp     
473007	4000	724	1	CRAB.bmp    
480996	3000	1221	1	COW.bmp     
488000	4000	1580	1	GORILLA.bmp 
496006	4000	1227	1	CUP.bmp     
503995	3000	939	1	BOTTLE.bmp  
511000	3000	1541	0	DRAGONFL.bmp
518005	3000	1747	0	CLOUD.bmp   
524993	4000	1138	1	BROOM.bmp   
532998	4000	919	1	ASHTRAY.bmp 
541004	4000	1721	1	AXE.bmp     
548993	4000	1185	1	APPLE.bmp   
556998	4000	889	1	FORK.bmp    
